topic,question
Computer Networks,"Consider three machines M, N and P with IP addresses 100.10.5.2, 100.10.5.5 and 100.10.5.6 respectively. The subnet mask is set to 255.255.255.252 for all the three machines. Which one of the following is true?"
Computer Networks,"Consider an IP packet with a length of 4,500 bytes that includes a 20-byte IPv4 header and a 40-byte TCP header. The packet is forwarded to an IPv4 router that supports a Maximum Transmission Unit (MTU) of 600 bytes. Assume that the length of the IP header in all the outgoing fragments of this packet is 20 bytes. Assume that the fragmentation offset value stored in the first fragment is 0.The fragmentation offset value stored in the third fragment is _______."
Computer Networks,The default subnet mask for a class B network can be
Computer Networks,The maximum number of IPv4 router addresses that can be listed in the record route (RR) option field of an IPv4 header is _________.
Computer Networks,The address of a class B host is to be split into subnets with a 6-bit subnet number. What is the maximum number of subnets and the maximum number of hosts in each subnet?
Computer Networks,"Consider the following statements about the routing protocols, Routing Information Protocol (RIP) and Open Shortest Path First (OSPF) in an IPv4 network. I. RIP uses distance vector routing. II. RIP packets are sent using UDP. III. OSPF packets are sent using TCP. IV. OSPF operation is based on link-state routing. Which of the statements above are CORRECT?"
Computer Networks,The address of a class B host is to be split into subnets with a 6-bit subnet number. What is the maximum number of subnets and the maximum number of hosts in each subnet?
Computer Networks,Which network protocol allows hosts to dynamically get a unique IP number on each bootup
Computer Networks,Dynamic routing protocol enable routers to
Computer Networks,An IP datagram of size 1000 bytes arrives at a router. The router has to forward this packet on a link whose MTU (maximum transmission unit)is 100bytes. Assume that the size of the IP header is 20bytes.The number of fragments that the IP datagram will be divided into for transmission is _________.
Computer Networks,Which layers of the OSI reference model are host-to-host layers?
Computer Networks,"In a class B subnet, we know the IP address of one host and the mask as given below: IP address: 125.134.112.66 Mask: 255.255.224.0. What is the first address(Network address)?"
Computer Networks,"In the network 200.10.11.144/27, the fourth octet (in decimal) of the last IP address of the network which can be assigned to a host is ____________."
Computer Networks,How many bits internet address is assigned to each host on a TCP/IP internet which is used in all communication with the host?
Computer Networks,Which one of the following fields of an IP header is NOT modified by a typical IP router?
Computer Networks,An organization is granted the block 130.34.12.64/26. It needs to have 4 subnets. Which of the following is not an address of this organization?
Computer Networks,Assume the following information. Original timestamp value = 46 Receive timestamp value = 59 Transmit timestamp value = 60 Timestamp at arrival of packet = 69 Which of the following statements is correct?
Computer Networks,A supernet has a first address of 205.16.32.0 and a supernet mask of 255.255.248.0. A router receives 4 packets with the following destination addresses.which packet belongs to this supernet?
Computer Networks,An IP packet has arrived with the first 8 bits as 0100 0010. Which of the following is correct?
Computer Networks,"A IP packet has arrived in which the fragmentation offset value is 100,the value of HLEN is 5 and the value of total length field is 200. What is the number of the last byte?"
Computer Networks,What is routing algorithm used by OSPF routing protocol?
Computer Networks,The process of modifying IP address information in IP packet headers while in transit across a traffic routing device is called
Computer Networks,An IP router with a Maximum Transmission Unit (MTU) of 1500 bytes has received an IP packet of size 4404 bytes with an IP header of length 20 bytes. The values of the relevant fields in the header of the third IP fragment generated by the router for this packet are
